,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
216,2022-04-29,10550,10700,10450,10550,95659,161000,587705642000,1.2637607936123776,0.9969790496935973,161000,14384,4.54,0.73,2302,5.26,550
217,2022-04-29,33000,33000,32250,32500,15207,006390,582976987560,1.0558931447816202,1.0073051811216882,006390,18240,13.94,1.77,2310,3.73,1200
218,2022-04-29,3295,3295,3265,3290,118974,001200,582376032000,1.681070452211742,1.0014005877964707,001200,10239,3.39,0.32,966,4.28,140
219,2022-04-29,22450,22500,22250,22400,59853,069260,578908144800,0.6905932658770716,0.9994153156643535,069260,18226,11.28,1.22,1972,4.49,1000
220,2022-04-29,13100,13250,12850,13150,408121,017960,578083954550,1.2636313060643185,1.011402894196827,017960,9042,38.92,1.44,334,1.15,150
221,2022-04-29,52200,52600,49750,50800,149661,005090,577672387500,0.5552936593124191,0.9974809353513773,005090,41630,11.73,1.2,4270,2.99,1500
222,2022-04-29,28700,29600,28550,29550,73319,033270,576000000000,0.868562013568302,1.0060720741362355,033270,20259,15.44,1.47,1930,1.24,370
223,2022-04-29,18550,18650,18150,18250,61489,001430,574843500000,1.5417058477053098,0.9929506042353967,001430,51304,3.53,0.36,5231,8.13,1500
224,2022-04-29,19550,19700,19350,19550,59074,093050,571642000000,0.9043485098168458,0.9959432752336026,093050,46904,4.64,0.41,4169,3.1,600
225,2022-04-29,15250,15500,15150,15500,298002,114090,568937862000,1.1221359117706247,0.9944078241442814,114090,6201,0.0,2.48,0,0.0,0
226,2022-04-29,28200,31750,26350,26800,3999953,226320,567354797350,1.948084903364513,0.991216957620958,226320,21524,0.0,1.19,0,0.78,200
227,2022-04-29,54900,55200,54500,55000,12103,145990,567239695000,1.3666747118273173,0.9906907185682393,145990,125904,13.86,0.45,4099,2.2,1250
228,2022-04-29,90700,91500,90000,90000,8742,005610,559240000000,0.7401617542291132,0.9859385327036543,005610,41335,18.28,2.21,4990,1.64,1500
229,2022-04-29,21700,22300,21350,22300,48344,029460,558001198300,1.268472474359438,1.0099767396818107,029460,53833,5.29,0.41,4200,1.35,300
230,2022-04-29,23400,23600,23350,23600,14134,071840,557142003200,1.5878702297780867,0.9859975183983766,071840,78984,0.0,0.3,0,4.27,1000
231,2022-04-29,12200,12250,11950,12100,192532,077500,549622168200,1.5907341334370417,1.0092838936731123,077500,11339,5.12,1.06,2342,2.5,300
232,2022-04-29,50100,50400,47900,47950,118939,064960,541818255000,1.0511329021687696,1.0010588320265685,064960,61655,8.54,0.8,5787,3.24,1600
233,2022-04-29,30500,30900,29850,30900,259023,001060,541585874900,0.7727317740750985,0.9964112637793419,001060,8650,0.0,3.53,0,1.06,325
234,2022-04-29,9070,9100,8940,9060,173558,104700,538701826300,1.1416327167486846,1.003154399672873,104700,18601,3.73,0.49,2435,2.75,250
235,2022-04-29,77700,78600,75500,76000,96590,004490,538300000000,1.684239030099833,1.011842783767498,004490,88025,11.56,0.83,6291,0.83,600
236,2022-04-29,20150,21200,20150,21150,44641,003070,533200763700,1.6156145667200204,1.0075728769429757,003070,23514,3.84,0.89,5454,2.39,500
237,2022-04-29,8900,9010,8800,8910,122464,009160,531162063250,0.8340743021012734,1.0098956676321262,009160,9786,5.5,0.91,1621,2.24,200
238,2022-04-29,27450,28100,27250,28000,55077,102460,529989297000,1.6051097507955454,1.0049399321339112,102460,13436,90.98,2.07,305,0.9,250
239,2022-04-29,12850,13100,12850,13100,86068,003850,525186370800,1.2280640762755344,1.009286979438907,003850,7192,18.72,1.79,689,0.78,100
240,2022-04-29,4000,4110,3975,4040,104549,019680,524769062400,-0.0014244313901587357,0.9875829591039371,019680,6083,0.0,0.66,0,1.98,80
