,Unnamed: 0,Date,대형주CAPM,성장주CAPM,중소형주CAPM,가치주CAPM,대형주포트폴리오분산,성장주포트폴리오분산,중소형주포트폴리오분산,가치주포트폴리오분산,대형주샤프지수,성장주샤프지수,중소형주샤프지수,가치주샤프지수,코스피200수익률,최대수익률,최소분산,샤프모델최대,대형주안정,성장주안정,중소형주안정,가치주안정,대형주,성장주,중소형주,가치주,대형주최소분산,성장주최소분산,중소형주최소분산,가치주최소분산,월,년,동행지수증가,선행지수증가,동행지수,선행지수,샤프수익률 라벨링,코스피
108,108,2019-05-01,-6.8360839133744005,-5.591851853666115,-4.217360480127437,-4.562622949115393,0.0006947943963134,0.0008210201156783,0.0005635444005874,0.0004765024792992,-2.662628929989834,-2.0151776742598195,-1.8533514082834144,-2.173697298634294,-7.381019233469055,-4.217360480127437,-4.562622949115393,-4.217360480127437,0,0,1,0,0,0,1,0,0,0,0,1,5,2019,1.003003003003003,0.9979757085020242,0.20000000000000284,-1.4000000000000057,1,-5.6607387292158196
109,109,2019-06-01,4.862909639776612,4.059447732945662,2.933370809837303,3.0137787838208268,0.0008414373386886,0.0009230087987046,0.0006231851321979,0.000541936975432,1.6217510044666557,1.283970577933743,1.1115196929220414,1.226471729891052,5.157451968623295,4.862909639776612,3.0137787838208268,4.862909639776612,1,0,0,0,1,0,0,0,0,0,0,1,6,2019,1.0,0.9969574036511156,0.20000000000000284,-1.7000000000000028,0,0.8819339429480877
110,110,2019-07-01,-3.841026755614513,-3.14112501656064,-2.1955515572832325,-2.217972063378213,0.0008959746080213,0.000957857570007,0.0006402018974869,0.0005628107437271,-1.3383913995358203,-1.068291014331049,-0.9330052847866346,-1.0045384843790297,-4.021621621621629,-2.1955515572832325,-2.217972063378213,-2.1955515572832325,0,0,1,0,0,0,1,0,0,0,0,1,7,2019,1.0,0.9979654120040692,0.20000000000000284,-1.9000000000000057,1,-1.2265766950428025
111,111,2019-08-01,-2.6100799129646868,-2.1119900952168336,-1.5425597013215897,-1.6370436662825114,0.0009363102403496,0.0009789074206373,0.0006483614286898,0.0005726848129518,-0.9005391582701453,-0.721530022363281,-0.6629463219374127,-0.7448718091069151,-2.755875948036335,-1.5425597013215897,-1.6370436662825114,-1.5425597013215897,0,0,1,0,0,0,1,0,0,0,0,1,8,2019,1.001996007984032,0.998980632008155,0.4000000000000057,-2.0,1,-6.503663461652964
112,112,2019-09-01,5.28705742458205,4.409813710708154,3.43088583765447,3.5949804707956905,0.0009541721994274,0.0009868167055087,0.0006517849533031,0.0005779659399006,1.6647570437731047,1.3577341962521912,1.2871911781218133,1.435179524839785,5.617760617760626,5.28705742458205,3.5949804707956905,5.28705742458205,1,0,0,0,1,0,0,0,0,0,0,1,9,2019,1.0,1.0010204081632652,0.4000000000000057,-1.9000000000000057,0,5.193174081249108
113,113,2019-10-01,0.7548084308852162,0.6697309644875267,0.5612645146394979,0.5798260704541058,0.0010243197482328,0.0010331874711837,0.0006790315926304,0.0006109241866323,0.1962799456602028,0.1689675719268653,0.1667994670215021,0.1833611320566957,0.82983001279473,0.7548084308852162,0.5798260704541058,0.7548084308852162,1,0,0,0,1,0,0,0,0,0,0,1,10,2019,1.0,1.0030581039755353,0.4000000000000057,-1.5999999999999943,0,1.0044153640601294
114,114,2019-11-01,0.3233752537575005,0.2967892091306188,0.2637588063538986,0.270839694968605,0.0010236141484795,0.0010315672989916,0.000677763262082,0.0006108155135689,0.0597018173455629,0.0511936185622649,0.0504701322151006,0.0560291484635554,0.3480530780944013,0.3233752537575005,0.270839694968605,0.3233752537575005,1,0,0,0,1,0,0,0,0,0,0,1,11,2019,0.99800796812749,1.0030487804878048,0.20000000000000284,-1.2999999999999972,0,3.0520254398845426
115,115,2019-12-01,5.439250452099823,4.689939537652083,3.783535182339192,3.980264093161231,0.0010220461022029,0.0010291348612512,0.0006759352748713,0.0006101724906617,1.66024294802051,1.420940366569306,1.4046792023703192,1.5580808999350977,6.138449309921246,5.439250452099823,3.980264093161231,5.439250452099823,1,0,0,0,1,0,0,0,0,0,0,1,12,2019,1.002994011976048,1.0030395136778114,0.5,-1.0,0,0.8558240757289504
116,116,2020-01-01,-2.84878096017046,-2.3622823244552795,-1.829392385294597,-1.9327880351630269,0.0010872569834296,0.0010704579598079,0.0007010784770648,0.0006453288872068,-0.9003628387950705,-0.7587050157140411,-0.7362483546304694,-0.8080933285796764,-3.145317765598943,-1.829392385294597,-1.9327880351630269,-1.829392385294597,0,0,1,0,0,0,1,0,0,0,0,1,1,2020,1.0029850746268656,1.0,0.7999999999999972,-1.0,1,2.628255481393116
117,117,2020-02-01,-5.2519637042688565,-4.402037634742211,-3.462689548163893,-3.6273765842996495,0.0011046817563223,0.0010727839362865,0.0007003699028445,0.0006516262442507,-1.6043805067979462,-1.3685652397357655,-1.3388370688087483,-1.4525235953302629,-5.8025515762837,-3.462689548163893,-3.6273765842996495,-3.462689548163893,0,0,1,0,0,0,1,0,0,0,0,1,2,2020,0.9930555555555556,1.0,0.09999999999999432,-1.0,1,-1.6482844458160395
